system:index,centroidLatLon,date,siteName,snow_albedo,surface_latent_heat_flux,surface_latent_heat_flux_hourly,surface_net_solar_radiation,surface_net_solar_radiation_hourly,surface_net_thermal_radiation,surface_net_thermal_radiation_hourly,surface_pressure,surface_sensible_heat_flux,surface_sensible_heat_flux_hourly,surface_solar_radiation_downwards,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards,surface_thermal_radiation_downwards_hourly,system:time_start,temperature_2m,temperature_of_snow_layer,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0_20250301T00,"[78.20000, 16.10000]",20250301 0000,"Site0 78,20000 16,10000",0.8348726630210876,153764.0,9152.0,70230.0,0.0,-1677168.0,-102548.0,96122.66796875,926087.0,50546.0,429208.0,0.0,2.3155392E7,923627.0,1.7407872E12,267.7828369140625,267.2765808105469,-4.226654052734375,0.3353271484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T01,"[78.20000, 16.10000]",20250301 0100,"Site0 78,20000 16,10000",0.8347277045249939,10647.25,10647.25,0.0,0.0,-114760.875,-114760.875,96082.796875,54371.5,54371.5,0.0,0.0,906443.0,906443.0,1.7407908E12,267.5116424560547,267.19773864746094,-4.356109619140625,0.2320709228515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T02,"[78.20000, 16.10000]",20250301 0200,"Site0 78,20000 16,10000",0.8345903754234314,19915.0,9267.75,0.0,0.0,-215001.625,-100240.75,96039.13671875,106108.0,51736.5,0.0,0.0,1822709.5625,916266.5625,1.7407944E12,267.4715576171875,267.13604736328125,-4.527923583984375,0.1680450439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T03,"[78.20000, 16.10000]",20250301 0300,"Site0 78,20000 16,10000",0.8344530463218689,31178.0,11263.0,0.0,0.0,-328152.5,-113150.875,96030.203125,165364.0,59256.0,0.0,0.0,2725107.8125,902398.25,1.740798E12,267.4596405029297,267.0690002441406,-4.6101531982421875,0.2640380859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T04,"[78.20000, 16.10000]",20250301 0400,"Site0 78,20000 16,10000",0.8343462347984314,39097.0,7919.0,0.0,0.0,-412286.5,-84134.0,95986.61328125,217607.0,52243.0,0.0,0.0,3655357.5,930249.6875,1.7408016E12,267.55723571777344,267.0312194824219,-4.5013427734375,0.4182586669921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T05,"[78.20000, 16.10000]",20250301 0500,"Site0 78,20000 16,10000",0.8342546820640564,53759.0,14662.0,0.0,0.0,-541472.0,-129185.5,95943.59765625,283150.0,65543.0,0.0,0.0,4543077.5,887720.0,1.7408052E12,267.50157165527344,266.9552917480469,-4.665924072265625,0.5721282958984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T06,"[78.20000, 16.10000]",20250301 0600,"Site0 78,20000 16,10000",0.8341707587242126,69067.0,15308.0,0.0,0.0,-663910.5,-122438.5,95882.78515625,350153.0,67003.0,0.0,0.0,5433029.0,889951.5,1.7408088E12,267.5248565673828,266.8923797607422,-4.624114990234375,0.57598876953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T07,"[78.20000, 16.10000]",20250301 0700,"Site0 78,20000 16,10000",0.8340868353843689,80947.0,11880.0,0.0,0.0,-740339.5,-76429.0,95859.546875,406140.0,55987.0,0.0,0.0,6368854.0,935825.0,1.7408124E12,267.8783721923828,266.8817443847656,-4.348968505859375,0.64984130859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T08,"[78.20000, 16.10000]",20250301 0800,"Site0 78,20000 16,10000",0.8340258002281189,92062.0,11115.0,288.0,288.0,-810404.0,-70064.5,95846.265625,458159.0,52019.0,1740.0,1740.0,7318207.0,949353.0,1.740816E12,268.1332550048828,266.87298583984375,-4.220001220703125,0.77960205078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T09,"[78.20000, 16.10000]",20250301 0900,"Site0 78,20000 16,10000",0.8339800238609314,104081.0,12019.0,7220.0,6932.0,-893991.0,-83587.0,95794.38671875,511680.0,53521.0,43504.0,41764.0,8258329.0,940122.0,1.7408196E12,268.2859649658203,266.85777282714844,-4.2691192626953125,0.9129638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T10,"[78.20000, 16.10000]",20250301 1000,"Site0 78,20000 16,10000",0.8339723944664001,113286.0,9205.0,18960.0,11740.0,-959141.0,-65150.0,95752.2734375,559346.0,47666.0,114264.0,70760.0,9218662.0,960333.0,1.7408232E12,268.3972930908203,266.8661346435547,-4.1179656982421875,0.7364654541015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T11,"[78.20000, 16.10000]",20250301 1100,"Site0 78,20000 16,10000",0.8339800238609314,120950.0,7664.0,38238.0,19278.0,-1022864.0,-63723.0,95688.64453125,602356.0,43010.0,230304.0,116040.0,1.0184915E7,966253.0,1.7408268E12,268.5245819091797,266.8790740966797,-4.3723907470703125,0.7032928466796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T12,"[78.20000, 16.10000]",20250301 1200,"Site0 78,20000 16,10000",0.8339800238609314,131858.0,10908.0,60134.0,21896.0,-1110463.0,-87599.0,95605.45703125,654236.0,51880.0,362132.0,131828.0,1.1130236E7,945321.0,1.7408304E12,268.5163116455078,266.8772888183594,-4.4118499755859375,0.6391143798828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T13,"[78.20000, 16.10000]",20250301 1300,"Site0 78,20000 16,10000",0.8339952826499939,144436.0,12578.0,79280.0,19146.0,-1203491.0,-93028.0,95535.078125,708719.0,54483.0,477416.0,115284.0,1.2069749E7,939513.0,1.740834E12,268.47682189941406,266.8691711425781,-4.316070556640625,0.60308837890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T14,"[78.20000, 16.10000]",20250301 1400,"Site0 78,20000 16,10000",0.8340181708335876,156734.0,12298.0,86900.0,7620.0,-1282028.0,-78537.0,95482.4765625,760537.0,51818.0,523308.0,45892.0,1.3022836E7,953087.0,1.7408376E12,268.4345245361328,266.8612976074219,-4.301544189453125,0.59619140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T15,"[78.20000, 16.10000]",20250301 1500,"Site0 78,20000 16,10000",0.8340639472007751,176204.0,19470.0,88624.0,1724.0,-1406610.0,-124582.0,95444.7578125,826276.0,65739.0,533684.0,10376.0,1.3928332E7,905496.0,1.7408412E12,268.18373107910156,266.8029327392578,-4.4139862060546875,0.5365943908691406,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T16,"[78.20000, 16.10000]",20250301 1600,"Site0 78,20000 16,10000",0.8341554999351501,191848.0,15644.0,88624.0,0.0,-1501891.0,-95281.0,95389.18359375,884548.0,58272.0,533684.0,0.0,1.4855323E7,926991.0,1.7408448E12,268.1019592285156,266.7712707519531,-4.5678558349609375,0.30217933654785156,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T17,"[78.20000, 16.10000]",20250301 1700,"Site0 78,20000 16,10000",0.8343462347984314,212244.0,20396.0,88624.0,0.0,-1628446.0,-126555.0,95320.20703125,952888.0,68340.0,533684.0,0.0,1.5749396E7,894073.0,1.7408484E12,267.91668701171875,266.71315002441406,-4.9035491943359375,0.1715717315673828,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T18,"[78.20000, 16.10000]",20250301 1800,"Site0 78,20000 16,10000",0.8346361517906189,235024.0,22780.0,88624.0,0.0,-1765087.0,-136641.0,95250.0859375,1029624.0,76736.0,533684.0,0.0,1.6628194E7,878798.0,1.740852E12,267.8116912841797,266.6575469970703,-5.113067626953125,0.1436004638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T19,"[78.20000, 16.10000]",20250301 1900,"Site0 78,20000 16,10000",0.8349184393882751,258660.0,23636.0,88624.0,0.0,-1884533.0,-119446.0,95241.734375,1112136.0,82512.0,533684.0,0.0,1.7521381E7,893187.0,1.7408556E12,268.1942443847656,266.6399383544922,-4.72015380859375,0.2850189208984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T20,"[78.20000, 16.10000]",20250301 2000,"Site0 78,20000 16,10000",0.8352846503257751,279264.0,20604.0,88624.0,0.0,-2001630.0,-117097.0,95209.60546875,1182652.0,70516.0,533684.0,0.0,1.8420823E7,899442.0,1.7408592E12,268.07843017578125,266.6009216308594,-4.8624420166015625,0.209686279296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T21,"[78.20000, 16.10000]",20250301 2100,"Site0 78,20000 16,10000",0.8357424139976501,298616.0,19352.0,88624.0,0.0,-2117593.0,-115963.0,95165.58984375,1253640.0,70988.0,533684.0,0.0,1.932034E7,899517.0,1.7408628E12,267.92884826660156,266.56324768066406,-5.02197265625,-0.0661468505859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T22,"[78.20000, 16.10000]",20250301 2200,"Site0 78,20000 16,10000",0.8362230658531189,318916.0,20300.0,88624.0,0.0,-2248180.0,-130587.0,95113.56640625,1329252.0,75612.0,533684.0,0.0,2.0204189E7,883849.0,1.7408664E12,267.6561584472656,266.5113830566406,-5.0462493896484375,-0.308013916015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T23,"[78.20000, 16.10000]",20250301 2300,"Site0 78,20000 16,10000",0.8367342352867126,336300.0,17384.0,88624.0,0.0,-2366216.0,-118036.0,95074.40625,1400460.0,71208.0,533684.0,0.0,2.1097829E7,893640.0,1.74087E12,267.4950408935547,266.46726989746094,-5.0843963623046875,-0.5285491943359375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T00,"[78.20000, 16.10000]",20250302 0000,"Site0 78,20000 16,10000",0.8371462225914001,353412.0,17112.0,88624.0,0.0,-2487544.0,-121328.0,95028.09375,1473280.0,72820.0,533684.0,0.0,2.1987368E7,889539.0,1.7408736E12,267.3689270019531,266.42137145996094,-4.9879302978515625,-0.801422119140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T01,"[78.20000, 16.10000]",20250302 0100,"Site0 78,20000 16,10000",0.8375124335289001,17062.75,17062.75,0.0,0.0,-129087.4375,-129087.4375,94969.7578125,73477.5,73477.5,0.0,0.0,880437.375,880437.375,1.7408772E12,267.17811584472656,266.36351013183594,-4.9461669921875,-0.991729736328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T02,"[78.20000, 16.10000]",20250302 0200,"Site0 78,20000 16,10000",0.8379015326499939,30623.5,13560.75,0.0,0.0,-241356.625,-112269.1875,94934.08203125,141160.5,67683.0,0.0,0.0,1775189.0,894751.625,1.7408808E12,267.08677673339844,266.31813049316406,-4.8458251953125,-1.1102294921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T03,"[78.20000, 16.10000]",20250302 0300,"Site0 78,20000 16,10000",0.8385271430015564,37450.0,6826.5,0.0,0.0,-315171.0,-73814.375,94909.6171875,196231.0,55070.5,0.0,0.0,2708977.1875,933788.1875,1.7408844E12,267.13885498046875,266.3023376464844,-4.457977294921875,-1.1395111083984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T04,"[78.20000, 16.10000]",20250302 0400,"Site0 78,20000 16,10000",0.8390993475914001,46974.0,9524.0,0.0,0.0,-404819.75,-89648.75,94902.203125,255155.0,58924.0,0.0,0.0,3631131.5,922154.3125,1.740888E12,267.292236328125,266.27357482910156,-4.45745849609375,-1.0434112548828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T05,"[78.20000, 16.10000]",20250302 0500,"Site0 78,20000 16,10000",0.8394426703453064,59876.0,12902.0,0.0,0.0,-485569.5,-80749.75,94867.55859375,314259.0,59104.0,0.0,0.0,4562505.5,931374.0,1.7408916E12,267.6099090576172,266.2633056640625,-4.33551025390625,-1.030242919921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T06,"[78.20000, 16.10000]",20250302 0600,"Site0 78,20000 16,10000",0.8397707343101501,78174.0,18298.0,0.0,0.0,-583851.5,-98282.0,94859.79296875,377412.0,63153.0,0.0,0.0,5479094.0,916588.5,1.7408952E12,267.7282409667969,266.24046325683594,-4.0905609130859375,-0.9601287841796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T07,"[78.20000, 16.10000]",20250302 0700,"Site0 78,20000 16,10000",0.8400301337242126,87462.0,9288.0,0.0,0.0,-645462.5,-61611.0,94915.734375,425551.0,48139.0,0.0,0.0,6432672.0,953578.0,1.7408988E12,267.776611328125,266.2391357421875,-3.9723663330078125,-0.958404541015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T08,"[78.20000, 16.10000]",20250302 0800,"Site0 78,20000 16,10000",0.8399996161460876,101446.0,13984.0,888.0,888.0,-718947.0,-73484.5,94917.0625,477434.0,51883.0,5560.0,5560.0,7377035.0,944363.0,1.7409024E12,267.94068908691406,266.23291015625,-3.8712615966796875,-0.9575347900390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T09,"[78.20000, 16.10000]",20250302 0900,"Site0 78,20000 16,10000",0.8399004340171814,121980.0,20534.0,9910.0,9022.0,-842196.0,-123249.0,94941.4453125,537469.0,60035.0,61954.0,56394.0,8271764.0,894729.0,1.740906E12,267.77159118652344,266.1835632324219,-3.6474456787109375,-0.885040283203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250302T10,"[78.20000, 16.10000]",20250302 1000,"Site0 78,20000 16,10000",0.8398775458335876,134889.0,12909.0,27418.0,17508.0,-910652.0,-68456.0,94930.984375,577058.0,39589.0,171336.0,109382.0,9215989.0,944225.0,1.7409096E12,267.9614715576172,266.1902160644531,-3.540616989135742,-0.7786407470703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
