system:index,centroidLatLon,date,siteName,snow_albedo,surface_latent_heat_flux,surface_latent_heat_flux_hourly,surface_net_solar_radiation,surface_net_solar_radiation_hourly,surface_net_thermal_radiation,surface_net_thermal_radiation_hourly,surface_pressure,surface_sensible_heat_flux,surface_sensible_heat_flux_hourly,surface_solar_radiation_downwards,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards,surface_thermal_radiation_downwards_hourly,system:time_start,temperature_2m,temperature_of_snow_layer,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0_20250301T00,"[78.30000, 16.20000]",20250301 0000,"Site0 78,30000 16,20000",0.8317980170249939,88412.0,5524.0,69472.0,0.0,-1848054.0,-102344.0,97940.66796875,1079995.0,55954.0,416094.0,0.0,2.3200572E7,931025.0,1.7407872E12,268.3277587890625,267.8840026855469,-4.494232177734375,0.4193115234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T01,"[78.30000, 16.20000]",20250301 0100,"Site0 78,30000 16,20000",0.8316225409507751,8057.5,8057.5,0.0,0.0,-116724.75,-116724.75,97902.796875,60216.0,60216.0,0.0,0.0,913122.375,913122.375,1.7407908E12,268.1503143310547,267.80711364746094,-4.604156494140625,0.2965240478515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T02,"[78.30000, 16.20000]",20250301 0200,"Site0 78,30000 16,20000",0.8314546942710876,14296.0,6238.5,0.0,0.0,-218291.625,-101566.875,97860.13671875,117187.5,56971.5,0.0,0.0,1837433.5625,924311.1875,1.7407944E12,268.1043701171875,267.74737548828125,-4.766204833984375,0.2110137939453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T03,"[78.30000, 16.20000]",20250301 0300,"Site0 78,30000 16,20000",0.8312868475914001,22429.0,8133.0,0.0,0.0,-335155.0,-116863.375,97849.203125,182734.0,65546.5,0.0,0.0,2745762.5625,908329.0,1.740798E12,268.0944061279297,267.6783752441406,-4.8972625732421875,0.3197021484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T04,"[78.30000, 16.20000]",20250301 0400,"Site0 78,30000 16,20000",0.8311342597007751,26990.0,4561.0,0.0,0.0,-426267.75,-91112.75,97804.61328125,242703.0,59969.0,0.0,0.0,3678446.0,932683.4375,1.7408016E12,268.18223571777344,267.6386413574219,-4.9124755859375,0.5207977294921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T05,"[78.30000, 16.20000]",20250301 0500,"Site0 78,30000 16,20000",0.8310198187828064,38710.0,11720.0,0.0,0.0,-558955.0,-132687.25,97758.59765625,317154.0,74451.0,0.0,0.0,4571489.5,893043.5,1.7408052E12,268.12852478027344,267.5646667480469,-4.987213134765625,0.6629486083984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T06,"[78.30000, 16.20000]",20250301 0600,"Site0 78,30000 16,20000",0.8309130072593689,50554.0,11844.0,0.0,0.0,-681419.0,-122464.0,97696.78515625,390597.0,73443.0,0.0,0.0,5471195.0,899705.5,1.7408088E12,268.1615753173828,267.5066375732422,-4.905364990234375,0.65216064453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T07,"[78.30000, 16.20000]",20250301 0700,"Site0 78,30000 16,20000",0.8308061957359314,58816.0,8262.0,0.0,0.0,-758745.5,-77326.5,97669.546875,452852.0,62255.0,0.0,0.0,6416541.0,945346.0,1.7408124E12,268.5404815673828,267.4989318847656,-4.606781005859375,0.72015380859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T08,"[78.30000, 16.20000]",20250301 0800,"Site0 78,30000 16,20000",0.8307222723960876,66754.0,7938.0,244.0,244.0,-831499.0,-72753.5,97656.265625,511551.0,58699.0,1446.0,1446.0,7373665.0,957124.0,1.740816E12,268.8129425048828,267.49310302734375,-4.540313720703125,0.89581298828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T09,"[78.30000, 16.20000]",20250301 0900,"Site0 78,30000 16,20000",0.8306459784507751,76189.0,9435.0,7072.0,6828.0,-917094.0,-85595.0,97601.38671875,572576.0,61025.0,41662.0,40216.0,8322057.0,948392.0,1.7408196E12,268.9636993408203,267.48277282714844,-4.5249786376953125,1.0037841796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
