system:index,centroidLatLon,date,siteName,snow_albedo,surface_latent_heat_flux,surface_latent_heat_flux_hourly,surface_net_solar_radiation,surface_net_solar_radiation_hourly,surface_net_thermal_radiation,surface_net_thermal_radiation_hourly,surface_pressure,surface_sensible_heat_flux,surface_sensible_heat_flux_hourly,surface_solar_radiation_downwards,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards,surface_thermal_radiation_downwards_hourly,system:time_start,temperature_2m,temperature_of_snow_layer,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0_20250301T00,"[78.20000, 16.10000]",20250301 0000,"Site0 78,20000 16,10000",0.8348726630210876,153764,9152,70230,0,-1677168,-102548,96122.66797,926087,50546,429208,0,2.3155392E7,923627,1.7407872E12,267.7828369140625,267.2765808105469,-4.226654053,0.335327148,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T01,"[78.20000, 16.10000]",20250301 0100,"Site0 78,20000 16,10000",0.8347277045249939,10647.25,10647.25,0,0,-114760.875,-114760.875,96082.79688,54371.5,54371.5,0,0,906443,906443,1.7407908E12,267.5116424560547,267.19773864746094,-4.356109619,0.2320709228515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T02,"[78.20000, 16.10000]",20250301 0200,"Site0 78,20000 16,10000",0.8345903754234314,19915,9267.75,0,0,-215001.625,-100240.75,96039.13672,106108,51736.5,0,0,1822709.563,916266.5625,1.7407944E12,267.4715576171875,267.13604736328125,-4.527923584,0.1680450439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T03,"[78.20000, 16.10000]",20250301 0300,"Site0 78,20000 16,10000",0.8344530463218689,31178,11263,0,0,-328152.5,-113150.875,96030.20313,165364,59256,0,0,2725107.813,902398.25,1.740798E12,267.4596405029297,267.0690002441406,-4.610153198,0.264038086,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T04,"[78.20000, 16.10000]",20250301 0400,"Site0 78,20000 16,10000",0.8343462347984314,39097,7919,0,0,-412286.5,-84134,95986.61328,217607,52243,0,0,3655357.5,930249.6875,1.7408016E12,267.55723571777344,267.0312194824219,-4.501342773,0.4182586669921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T05,"[78.20000, 16.10000]",20250301 0500,"Site0 78,20000 16,10000",0.8342546820640564,53759,14662,0,0,-541472,-129185.5,95943.59766,283150,65543,0,0,4543077.5,887720,1.7408052E12,267.50157165527344,266.9552917480469,-4.665924072,0.5721282958984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T06,"[78.20000, 16.10000]",20250301 0600,"Site0 78,20000 16,10000",0.8341707587242126,69067,15308,0,0,-663910.5,-122438.5,95882.78516,350153,67003,0,0,5433029,889951.5,1.7408088E12,267.5248565673828,266.8923797607422,-4.62411499,0.57598877,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T07,"[78.20000, 16.10000]",20250301 0700,"Site0 78,20000 16,10000",0.8340868353843689,80947,11880,0,0,-740339.5,-76429,95859.54688,406140,55987,0,0,6368854,935825,1.7408124E12,267.8783721923828,266.8817443847656,-4.348968506,0.649841309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T08,"[78.20000, 16.10000]",20250301 0800,"Site0 78,20000 16,10000",0.8340258002281189,92062,11115,288,288,-810404,-70064.5,95846.26563,458159,52019,1740,1740,7318207,949353,1.740816E12,268.1332550048828,266.87298583984375,-4.220001221,0.779602051,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T09,"[78.20000, 16.10000]",20250301 0900,"Site0 78,20000 16,10000",0.8339800238609314,104081,12019,7220,6932,-893991,-83587,95794.38672,511680,53521,43504,41764,8258329,940122,1.7408196E12,268.2859649658203,266.85777282714844,-4.269119263,0.912963867,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T10,"[78.20000, 16.10000]",20250301 1000,"Site0 78,20000 16,10000",0.8339723944664001,113286,9205,18960,11740,-959141,-65150,95752.27344,559346,47666,114264,70760,9218662,960333,1.7408232E12,268.3972930908203,266.8661346435547,-4.117965698,0.7364654541015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T11,"[78.20000, 16.10000]",20250301 1100,"Site0 78,20000 16,10000",0.8339800238609314,120950,7664,38238,19278,-1022864,-63723,95688.64453,602356,43010,230304,116040,1.0184915E7,966253,1.7408268E12,268.5245819091797,266.8790740966797,-4.372390747,0.7032928466796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T12,"[78.20000, 16.10000]",20250301 1200,"Site0 78,20000 16,10000",0.8339800238609314,131858,10908,60134,21896,-1110463,-87599,95605.45703,654236,51880,362132,131828,1.1130236E7,945321,1.7408304E12,268.5163116455078,266.8772888183594,-4.411849976,0.6391143798828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T13,"[78.20000, 16.10000]",20250301 1300,"Site0 78,20000 16,10000",0.8339952826499939,144436,12578,79280,19146,-1203491,-93028,95535.07813,708719,54483,477416,115284,1.2069749E7,939513,1.740834E12,268.47682189941406,266.8691711425781,-4.316070557,0.603088379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T14,"[78.20000, 16.10000]",20250301 1400,"Site0 78,20000 16,10000",0.8340181708335876,156734,12298,86900,7620,-1282028,-78537,95482.47656,760537,51818,523308,45892,1.3022836E7,953087,1.7408376E12,268.4345245361328,266.8612976074219,-4.301544189,0.596191406,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T15,"[78.20000, 16.10000]",20250301 1500,"Site0 78,20000 16,10000",0.8340639472007751,176204,19470,88624,1724,-1406610,-124582,95444.75781,826276,65739,533684,10376,1.3928332E7,905496,1.7408412E12,268.18373107910156,266.8029327392578,-4.413986206,0.5365943908691406,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T16,"[78.20000, 16.10000]",20250301 1600,"Site0 78,20000 16,10000",0.8341554999351501,191848,15644,88624,0,-1501891,-95281,95389.18359,884548,58272,533684,0,1.4855323E7,926991,1.7408448E12,268.1019592285156,266.7712707519531,-4.567855835,0.30217933654785156,"{""type"":""MultiPoint"",""coordinates"":[]}"
