"TOA5","CR3000_MaggieMay","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay_no_sonic_v3.CR3","45787","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction_1","wind_direction_2","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-03-01 12:56:00",19,12.19,-4.897,-4.981,83.5,85.7,2.771,3.773,4.17,5.096,53.68,74.85,989.0491,9.6,10.78,293.4,286.1,-2.159,-4.86
"2025-03-01 12:57:00",20,12.15,-4.889,-4.973,83.6,85.7,2.096,3.58,4.736,5.782,54.15,49.75,987.5798,10.05,11.23,293.2,285,-2.312,-4.871
"2025-03-01 12:58:00",21,12.12,-4.882,-4.972,83.7,85.6,2.624,5.161,6.126,6.762,58.27,52.81,987.5945,10.72,11.8,292.9,283.1,-2.606,-4.895
"2025-03-01 12:59:00",22,12.09,-4.853,-4.946,83.6,85.4,3.284,4.145,4.582,5.488,62.32,63.72,987.5908,10.91,11.87,293.3,285.6,-2.836,-4.905
"2025-03-01 13:00:00",23,12.08,-4.809,-4.898,83.3,85.1,3.244,3.188,4.067,4.704,60.48,17.76,987.6174,11.56,12.52,293.2,284.9,-3.003,-4.914
"2025-03-01 13:01:00",24,12.06,-4.827,-4.914,83.5,85.5,2.322,2.269,3.398,3.724,72.7,73.65,987.5984,12.04,12.96,293,285,-3.174,-4.925
"2025-03-01 13:02:00",25,12.06,-4.846,-4.941,83.7,85.7,2.773,2.986,4.067,4.116,72.7,33.93,987.582,12.32,13.14,293.1,286.1,-3.295,-4.933
"2025-03-01 13:03:00",26,12.05,-4.879,-4.973,83.9,86,3.137,3.262,4.067,4.018,72.57,53.23,987.6195,12.49,13.32,292.8,286.6,-3.45,-4.939
"2025-03-01 13:04:00",27,12.05,-4.915,-5.007,84.3,86.2,3.162,3.693,4.582,5.488,72.57,92.6,987.5988,12.77,13.61,293.2,287.3,-3.558,-4.945
"2025-03-01 13:05:00",28,12.04,-4.846,-4.918,84.2,85.3,3.218,4.49,5.148,5.488,72.7,63.84,987.5345,13.52,14.33,293.5,287.6,-3.625,-4.948
"2025-03-01 13:06:00",29,12.04,-4.781,-4.855,83.6,84.9,3.533,3.476,4.273,4.312,72.7,47.02,987.5635,13.64,14.42,293.4,288.1,-3.695,-4.951
