"TOA5","1481","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay_no_sonic_v3.CR3","13840","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction_1","wind_direction_2","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-03-07 18:01:00",8963,11.89,-10.56,-10.58,85.4,86.3,3.535,3.873,4.221,4.606,344.9,260.2,983.6897,0.691,0.33,267.7,250.4,-10.85,-8.06
"2025-03-07 18:02:00",8964,11.89,-10.53,-10.59,85,85,3.253,3.566,3.81,4.312,344.9,252,983.711,1.212,0.564,265.9,248.9,-10.83,-8.06
"2025-03-07 18:03:00",8965,11.89,-10.64,-10.7,84.6,85,3.366,3.815,3.861,4.214,344.9,253.2,983.6873,0.555,0.449,265.2,248.5,-10.87,-8.06
"2025-03-07 18:04:00",8966,11.89,-10.7,-10.75,84.7,85.6,3.639,4.078,4.273,4.606,344.9,244.6,983.6736,0.178,0.306,265.4,248.9,-10.89,-8.06
"2025-03-07 18:05:00",8967,11.89,-10.69,-10.73,85.2,86.3,3.845,4.402,4.479,4.998,344.9,247.6,983.6683,0.233,0.298,266.3,249.6,-10.87,-8.06
"2025-03-07 18:06:00",8968,11.89,-10.65,-10.67,85.6,86.6,3.84,4.379,4.273,4.802,344.9,245.2,983.6682,0.414,0.367,266.4,249.6,-10.85,-8.06
"2025-03-07 18:07:00",8969,11.89,-10.62,-10.65,85.7,86.4,3.481,3.918,4.067,4.508,344.9,248.1,983.6458,0.535,0.426,266.4,249.3,-10.83,-8.07
"2025-03-07 18:08:00",8970,11.89,-10.64,-10.66,85.7,86.2,3.375,3.778,3.912,4.508,344.9,241.7,983.6697,0.483,0.433,265.9,249,-10.83,-8.07
"2025-03-07 18:09:00",8971,11.89,-10.64,-10.65,85.7,86.3,3.757,4.221,4.273,4.606,344.9,241.3,983.6455,0.424,0.388,266.1,248.9,-10.83,-8.07
"2025-03-07 18:10:00",8972,11.89,-10.6,-10.61,85.7,86,3.791,4.209,4.685,4.998,344.9,237.2,983.6589,0.465,0.365,266.4,248.9,-10.81,-8.07
"2025-03-07 18:11:00",8973,11.88,-10.59,-10.61,85.7,86.3,4.011,4.434,4.839,4.9,344.9,247.2,983.6772,0.415,0.335,266.8,248.8,-10.79,-8.07
