,Time,1,2
S/N,,615453,615453
Type,,TGP-4505,TGP-4505
Description,,TH6,TH6
Property,,Temperature,Humidity
1,2025-03-01 11:00:23,-1.484 °C,33.9 %RH
2,2025-03-01 11:01:23,-1.527 °C,33.7 %RH
3,2025-03-01 11:02:23,-1.593 °C,33.7 %RH
4,2025-03-01 11:03:23,-1.622 °C,33.4 %RH
5,2025-03-01 11:04:23,-1.704 °C,33.4 %RH
6,2025-03-01 11:05:23,-1.693 °C,33.4 %RH
7,2025-03-01 11:06:23,-1.816 °C,33.1 %RH
8,2025-03-01 11:07:23,-1.815 °C,32.8 %RH
9,2025-03-01 11:08:23,-1.872 °C,33.1 %RH
10,2025-03-01 11:09:23,-1.891 °C,32.6 %RH
11,2025-03-01 11:10:23,-1.990 °C,33.4 %RH
12,2025-03-01 11:11:23,-2.013 °C,33.9 %RH
13,2025-03-01 11:12:23,-2.081 °C,33.4 %RH
14,2025-03-01 11:13:23,-1.974 °C,33.1 %RH
15,2025-03-01 11:14:23,-2.122 °C,33.1 %RH
16,2025-03-01 11:15:23,-2.135 °C,32.8 %RH
17,2025-03-01 11:16:23,-2.163 °C,33.1 %RH
18,2025-03-01 11:17:23,-2.208 °C,33.4 %RH
19,2025-03-01 11:18:23,-2.276 °C,32.8 %RH
20,2025-03-01 11:19:23,-2.348 °C,33.4 %RH
21,2025-03-01 11:20:23,-2.329 °C,33.4 %RH
22,2025-03-01 11:21:23,-2.394 °C,33.1 %RH
23,2025-03-01 11:22:23,-2.397 °C,32.8 %RH
24,2025-03-01 11:23:23,-2.462 °C,32.8 %RH
25,2025-03-01 11:24:23,-2.480 °C,32.6 %RH
26,2025-03-01 11:25:23,-2.458 °C,32.6 %RH
27,2025-03-01 11:26:23,-2.488 °C,32.3 %RH
28,2025-03-01 11:27:23,-2.198 °C,32.0 %RH
29,2025-03-01 11:28:23,-2.691 °C,32.0 %RH
30,2025-03-01 11:29:23,-2.538 °C,32.0 %RH
31,2025-03-01 11:30:23,-2.562 °C,32.0 %RH
32,2025-03-01 11:31:23,-2.638 °C,31.7 %RH
33,2025-03-01 11:32:23,-2.650 °C,31.7 %RH
34,2025-03-01 11:33:23,-2.686 °C,32.0 %RH
35,2025-03-01 11:34:23,-2.724 °C,31.7 %RH
36,2025-03-01 11:35:23,-2.724 °C,31.7 %RH
