,Time,1,2
S/N,,939300,939300
Type,,TGP-4520,TGP-4520
Description,,TT13,TT13
Property,,Black Probe Temperature,White Probe Temperature
1,2025-03-01 11:00:00,-4.133 °C,0.913 °C
2,2025-03-01 11:10:00,-4.061 °C,0.327 °C
3,2025-03-01 11:20:00,-4.119 °C,-0.191 °C
4,2025-03-01 11:30:00,-4.086 °C,-0.609 °C
5,2025-03-01 11:40:00,-4.120 °C,-0.982 °C
6,2025-03-01 11:50:00,-4.106 °C,-1.328 °C
7,2025-03-01 12:00:00,-4.270 °C,-1.645 °C
8,2025-03-01 12:10:00,-4.355 °C,-1.927 °C
9,2025-03-01 12:20:00,-4.293 °C,-2.187 °C
10,2025-03-01 12:30:00,-4.364 °C,-2.416 °C
11,2025-03-01 12:40:00,-4.394 °C,-2.624 °C
12,2025-03-01 12:50:00,-4.452 °C,-2.820 °C
13,2025-03-01 13:00:00,-4.533 °C,-2.995 °C
14,2025-03-01 13:10:00,-4.575 °C,-3.157 °C
15,2025-03-01 13:20:00,-4.630 °C,-3.307 °C
16,2025-03-01 13:30:00,-4.694 °C,-3.446 °C
17,2025-03-01 13:40:00,-4.731 °C,-3.572 °C
18,2025-03-01 13:50:00,-4.729 °C,-5.156 °C
19,2025-03-01 14:00:00,-4.725 °C,-5.109 °C
20,2025-03-01 14:10:00,-4.762 °C,-5.028 °C
21,2025-03-01 14:20:00,-4.766 °C,-5.134 °C
22,2025-03-01 14:30:00,-4.838 °C,-5.232 °C
23,2025-03-01 14:40:00,-4.958 °C,-5.344 °C
24,2025-03-01 14:50:00,-4.985 °C,-5.254 °C
25,2025-03-01 15:00:00,-5.032 °C,-5.327 °C
26,2025-03-01 15:10:00,-5.096 °C,-5.416 °C
27,2025-03-01 15:20:00,-5.148 °C,-5.459 °C
28,2025-03-01 15:30:00,-5.191 °C,-5.501 °C
29,2025-03-01 15:40:00,-5.210 °C,-5.480 °C
30,2025-03-01 15:50:00,-4.760 °C,-4.742 °C
31,2025-03-01 16:00:00,-4.310 °C,-4.199 °C
32,2025-03-01 16:10:00,-3.952 °C,-3.930 °C
33,2025-03-01 16:20:00,-3.271 °C,-4.159 °C
34,2025-03-01 16:30:00,-3.107 °C,-3.708 °C
35,2025-03-01 16:40:00,-2.951 °C,-3.316 °C
36,2025-03-01 16:50:00,-2.846 °C,-3.123 °C
37,2025-03-01 17:00:00,-0.003 °C,-0.259 °C
38,2025-03-01 17:10:00,3.246 °C,2.284 °C
39,2025-03-01 17:20:00,5.757 °C,4.346 °C
40,2025-03-01 17:30:00,7.922 °C,6.321 °C
41,2025-03-01 17:40:00,9.658 °C,8.022 °C
42,2025-03-01 17:50:00,11.052 °C,9.487 °C
43,2025-03-01 18:00:00,12.165 °C,10.734 °C
44,2025-03-01 18:10:00,13.072 °C,11.801 °C
45,2025-03-01 18:20:00,13.618 °C,12.647 °C
46,2025-03-01 18:30:00,14.294 °C,13.389 °C
47,2025-03-01 18:40:00,14.946 °C,14.116 °C
48,2025-03-01 18:50:00,15.495 °C,14.742 °C
49,2025-03-01 19:00:00,15.959 °C,15.293 °C
50,2025-03-01 19:10:00,16.376 °C,15.783 °C
51,2025-03-01 19:20:00,16.751 °C,16.209 °C
52,2025-03-01 19:30:00,17.083 °C,16.583 °C
53,2025-03-01 19:40:00,17.363 °C,16.927 °C
54,2025-03-01 19:50:00,17.635 °C,17.233 °C
55,2025-03-01 20:00:00,17.889 °C,17.498 °C
56,2025-03-01 20:10:00,18.103 °C,17.757 °C
57,2025-03-01 20:20:00,18.308 °C,17.981 °C
58,2025-03-01 20:30:00,18.484 °C,18.183 °C
59,2025-03-01 20:40:00,18.646 °C,18.362 °C
60,2025-03-01 20:50:00,18.794 °C,18.535 °C
61,2025-03-01 21:00:00,18.939 °C,18.685 °C
62,2025-03-01 21:10:00,19.044 °C,18.822 °C
63,2025-03-01 21:20:00,19.149 °C,18.921 °C
64,2025-03-01 21:30:00,19.255 °C,19.017 °C
65,2025-03-01 21:40:00,19.314 °C,19.091 °C
66,2025-03-01 21:50:00,19.351 °C,19.150 °C
67,2025-03-01 22:00:00,19.386 °C,19.198 °C
68,2025-03-01 22:10:00,19.417 °C,19.228 °C
69,2025-03-01 22:20:00,19.430 °C,19.249 °C
70,2025-03-01 22:30:00,19.442 °C,19.261 °C
71,2025-03-01 22:40:00,19.429 °C,19.271 °C
72,2025-03-01 22:50:00,19.430 °C,19.275 °C
73,2025-03-01 23:00:00,19.420 °C,19.272 °C
74,2025-03-01 23:10:00,19.403 °C,19.265 °C
75,2025-03-01 23:20:00,19.387 °C,19.255 °C
76,2025-03-01 23:30:00,19.370 °C,19.242 °C
77,2025-03-01 23:40:00,19.354 °C,19.228 °C
78,2025-03-01 23:50:00,19.334 °C,19.212 °C
79,2025-03-02 00:00:00,19.312 °C,19.195 °C
80,2025-03-02 00:10:00,19.292 °C,19.175 °C
81,2025-03-02 00:20:00,19.268 °C,19.155 °C
82,2025-03-02 00:30:00,19.248 °C,19.133 °C
83,2025-03-02 00:40:00,19.225 °C,19.111 °C
84,2025-03-02 00:50:00,19.200 °C,19.087 °C
85,2025-03-02 01:00:00,19.173 °C,19.064 °C
86,2025-03-02 01:10:00,19.140 °C,19.038 °C
87,2025-03-02 01:20:00,19.107 °C,19.011 °C
88,2025-03-02 01:30:00,19.073 °C,18.981 °C
89,2025-03-02 01:40:00,19.034 °C,18.949 °C
90,2025-03-02 01:50:00,18.995 °C,18.915 °C
91,2025-03-02 02:00:00,18.966 °C,18.882 °C
92,2025-03-02 02:10:00,18.938 °C,18.850 °C
93,2025-03-02 02:20:00,18.913 °C,18.820 °C
94,2025-03-02 02:30:00,18.889 °C,18.794 °C
95,2025-03-02 02:40:00,18.859 °C,18.763 °C
96,2025-03-02 02:50:00,18.827 °C,18.735 °C
97,2025-03-02 03:00:00,18.801 °C,18.708 °C
98,2025-03-02 03:10:00,18.774 °C,18.681 °C
99,2025-03-02 03:20:00,18.750 °C,18.656 °C
100,2025-03-02 03:30:00,18.724 °C,18.631 °C
101,2025-03-02 03:40:00,18.698 °C,18.606 °C
102,2025-03-02 03:50:00,18.678 °C,18.582 °C
103,2025-03-02 04:00:00,18.656 °C,18.559 °C
104,2025-03-02 04:10:00,18.626 °C,18.535 °C
105,2025-03-02 04:20:00,18.603 °C,18.513 °C
106,2025-03-02 04:30:00,18.579 °C,18.490 °C
107,2025-03-02 04:40:00,18.560 °C,18.468 °C
108,2025-03-02 04:50:00,18.535 °C,18.447 °C
109,2025-03-02 05:00:00,18.513 °C,18.425 °C
110,2025-03-02 05:10:00,18.490 °C,18.404 °C
111,2025-03-02 05:20:00,18.470 °C,18.382 °C
112,2025-03-02 05:30:00,18.450 °C,18.362 °C
113,2025-03-02 05:40:00,18.433 °C,18.342 °C
114,2025-03-02 05:50:00,18.417 °C,18.322 °C
115,2025-03-02 06:00:00,18.397 °C,18.303 °C
116,2025-03-02 06:10:00,18.377 °C,18.285 °C
117,2025-03-02 06:20:00,18.357 °C,18.263 °C
118,2025-03-02 06:30:00,18.334 °C,18.243 °C
119,2025-03-02 06:40:00,18.309 °C,18.222 °C
120,2025-03-02 06:50:00,18.286 °C,18.200 °C
121,2025-03-02 07:00:00,18.266 °C,18.180 °C
122,2025-03-02 07:10:00,18.250 °C,18.160 °C
123,2025-03-02 07:20:00,18.235 °C,18.141 °C
124,2025-03-02 07:30:00,18.217 °C,18.123 °C
125,2025-03-02 07:40:00,18.203 °C,18.107 °C
126,2025-03-02 07:50:00,18.131 °C,17.889 °C
127,2025-03-02 08:00:00,16.564 °C,15.422 °C
128,2025-03-02 08:10:00,14.374 °C,12.957 °C
129,2025-03-02 08:20:00,12.397 °C,11.232 °C
130,2025-03-02 08:30:00,10.597 °C,9.813 °C
131,2025-03-02 08:40:00,8.993 °C,8.192 °C
132,2025-03-02 08:50:00,6.989 °C,8.114 °C
133,2025-03-02 09:00:00,5.623 °C,4.892 °C
134,2025-03-02 09:10:00,4.539 °C,3.955 °C
135,2025-03-02 09:20:00,3.530 °C,3.349 °C
136,2025-03-02 09:30:00,2.878 °C,2.715 °C
137,2025-03-02 09:40:00,2.122 °C,1.795 °C
138,2025-03-02 09:50:00,1.248 °C,1.032 °C
139,2025-03-02 10:00:00,0.389 °C,0.273 °C
140,2025-03-02 10:10:00,-0.346 °C,-0.335 °C
141,2025-03-02 10:20:00,-0.961 °C,-0.864 °C
142,2025-03-02 10:30:00,-1.572 °C,-1.464 °C
143,2025-03-02 10:40:00,-1.875 °C,-1.802 °C
144,2025-03-02 10:50:00,-2.098 °C,-2.042 °C
145,2025-03-02 11:00:00,-2.290 °C,-2.236 °C
146,2025-03-02 11:10:00,-2.455 °C,-2.430 °C
147,2025-03-02 11:20:00,-2.724 °C,-3.600 °C
148,2025-03-02 11:30:00,-3.095 °C,-3.430 °C
149,2025-03-02 11:40:00,-3.294 °C,-3.566 °C
150,2025-03-02 11:50:00,-3.444 °C,-3.681 °C
151,2025-03-02 12:00:00,-3.426 °C,-3.687 °C
152,2025-03-02 12:10:00,-3.414 °C,-3.629 °C
153,2025-03-02 12:20:00,-3.446 °C,-3.685 °C
154,2025-03-02 12:30:00,-3.475 °C,-3.710 °C
155,2025-03-02 12:40:00,-3.503 °C,-3.800 °C
156,2025-03-02 12:50:00,-3.541 °C,-3.786 °C
