	Time	1	2
S/N		962491	962491
Type		TGP-4505	TGP-4505
Description		TH_8	TH_8
Property		Temperature	Humidity
1	1 mar 2025 11:00:55	-0.449 °C	31.0 %RH
2	1 mar 2025 11:01:55	-0.517 °C	31.0 %RH
3	1 mar 2025 11:02:55	-0.565 °C	31.0 %RH
4	1 mar 2025 11:03:55	-0.616 °C	30.7 %RH
5	1 mar 2025 11:04:55	-0.685 °C	30.7 %RH
6	1 mar 2025 11:05:55	-0.714 °C	30.7 %RH
7	1 mar 2025 11:06:55	-0.758 °C	30.7 %RH
8	1 mar 2025 11:07:55	-0.835 °C	31.0 %RH
9	1 mar 2025 11:08:55	-0.893 °C	31.0 %RH
10	1 mar 2025 11:09:55	-0.941 °C	30.7 %RH
11	1 mar 2025 11:10:55	-0.971 °C	30.7 %RH
12	1 mar 2025 11:11:55	-1.026 °C	30.7 %RH
13	1 mar 2025 11:12:55	-1.072 °C	31.0 %RH
14	1 mar 2025 11:13:55	-1.105 °C	30.7 %RH
15	1 mar 2025 11:14:55	-1.142 °C	30.7 %RH
16	1 mar 2025 11:15:55	-1.199 °C	30.7 %RH
17	1 mar 2025 11:16:55	-1.235 °C	30.7 %RH
18	1 mar 2025 11:17:55	-1.297 °C	30.7 %RH
19	1 mar 2025 11:18:55	-1.329 °C	30.7 %RH
20	1 mar 2025 11:19:55	-1.367 °C	30.4 %RH
21	1 mar 2025 11:20:55	-1.379 °C	30.7 %RH
22	1 mar 2025 11:21:55	-1.483 °C	30.7 %RH
23	1 mar 2025 11:22:55	-1.483 °C	30.7 %RH
24	1 mar 2025 11:23:55	-1.522 °C	30.7 %RH
25	1 mar 2025 11:24:55	-1.569 °C	31.0 %RH
26	1 mar 2025 11:25:55	-1.593 °C	30.7 %RH
27	1 mar 2025 11:26:55	-1.626 °C	31.0 %RH
28	1 mar 2025 11:27:55	-1.652 °C	31.0 %RH
29	1 mar 2025 11:28:55	-1.718 °C	31.0 %RH
30	1 mar 2025 11:29:55	-1.773 °C	31.0 %RH
31	1 mar 2025 11:30:55	-1.808 °C	31.0 %RH
32	1 mar 2025 11:31:55	-1.821 °C	31.0 %RH
33	1 mar 2025 11:32:55	-1.841 °C	31.0 %RH
34	1 mar 2025 11:33:55	-1.889 °C	31.0 %RH
35	1 mar 2025 11:34:55	-1.938 °C	31.0 %RH
36	1 mar 2025 11:35:55	-1.950 °C	31.0 %RH
