	Time	1	2
S/N		946487	946487
Type		TGP-4520	TGP-4520
Description		TT14	TT14
Property		Black Probe Temperature	White Probe Temperature
1	1 mar 2025 11:00	-0.700 °C	-0.546 °C
2	1 mar 2025 11:10	-1.182 °C	-1.036 °C
3	1 mar 2025 11:20	-1.581 °C	-1.441 °C
4	1 mar 2025 11:30	-1.980 °C	-1.851 °C
5	1 mar 2025 11:40	-2.313 °C	-2.192 °C
6	1 mar 2025 11:50	-2.587 °C	-2.473 °C
7	1 mar 2025 12:00	-2.825 °C	-2.715 °C
8	1 mar 2025 12:10	-3.052 °C	-2.949 °C
9	1 mar 2025 12:20	-3.246 °C	-3.144 °C
10	1 mar 2025 12:30	-3.403 °C	-3.305 °C
11	1 mar 2025 12:40	-3.552 °C	-3.457 °C
12	1 mar 2025 12:50	-3.687 °C	-3.593 °C
13	1 mar 2025 13:00	-3.813 °C	-3.721 °C
14	1 mar 2025 13:10	-3.936 °C	-3.845 °C
15	1 mar 2025 13:20	-4.044 °C	-3.954 °C
16	1 mar 2025 13:30	-4.142 °C	-4.051 °C
17	1 mar 2025 13:40	-4.231 °C	-4.142 °C
18	1 mar 2025 13:50	-5.312 °C	-5.344 °C
19	1 mar 2025 14:00	-5.506 °C	-5.473 °C
20	1 mar 2025 14:10	-5.169 °C	-5.050 °C
21	1 mar 2025 14:20	-5.521 °C	-5.448 °C
22	1 mar 2025 14:30	-6.075 °C	-6.196 °C
23	1 mar 2025 14:40	-5.850 °C	-5.684 °C
24	1 mar 2025 14:50	-5.861 °C	-5.769 °C
25	1 mar 2025 15:00	-5.888 °C	-5.807 °C
26	1 mar 2025 15:10	-5.912 °C	-5.835 °C
27	1 mar 2025 15:20	-5.933 °C	-5.859 °C
28	1 mar 2025 15:30	-5.950 °C	-5.878 °C
29	1 mar 2025 15:40	-5.967 °C	-5.895 °C
30	1 mar 2025 15:50	-5.982 °C	-5.910 °C
31	1 mar 2025 16:00	-5.995 °C	-5.923 °C
32	1 mar 2025 16:10	-6.007 °C	-5.935 °C
33	1 mar 2025 16:20	-6.018 °C	-5.944 °C
34	1 mar 2025 16:30	-6.027 °C	-5.954 °C
35	1 mar 2025 16:40	-6.037 °C	-5.963 °C
36	1 mar 2025 16:50	-6.046 °C	-5.969 °C
37	1 mar 2025 17:00	-6.052 °C	-5.976 °C
38	1 mar 2025 17:10	-6.062 °C	-5.982 °C
39	1 mar 2025 17:20	-6.069 °C	-5.988 °C
40	1 mar 2025 17:30	-6.075 °C	-5.993 °C
41	1 mar 2025 17:40	-6.082 °C	-5.999 °C
42	1 mar 2025 17:50	-6.086 °C	-6.003 °C
43	1 mar 2025 18:00	-6.092 °C	-6.005 °C
44	1 mar 2025 18:10	-6.096 °C	-6.009 °C
45	1 mar 2025 18:20	-6.101 °C	-6.012 °C
46	1 mar 2025 18:30	-6.103 °C	-6.016 °C
47	1 mar 2025 18:40	-6.111 °C	-6.020 °C
48	1 mar 2025 18:50	-6.115 °C	-6.022 °C
49	1 mar 2025 19:00	-6.118 °C	-6.026 °C
50	1 mar 2025 19:10	-6.124 °C	-6.027 °C
