system:index,centroidLatLon,date,dewpoint_temperature_2m,evaporation_from_bare_soil,evaporation_from_bare_soil_hourly,evaporation_from_open_water_surfaces_excluding_oceans,evaporation_from_open_water_surfaces_excluding_oceans_hourly,evaporation_from_the_top_of_canopy,evaporation_from_the_top_of_canopy_hourly,evaporation_from_vegetation_transpiration,evaporation_from_vegetation_transpiration_hourly,forecast_albedo,lake_bottom_temperature,lake_ice_depth,lake_ice_temperature,lake_mix_layer_depth,lake_mix_layer_temperature,lake_shape_factor,lake_total_layer_temperature,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,potential_evaporation,potential_evaporation_hourly,runoff,runoff_hourly,siteName,skin_reservoir_content,skin_temperature,snow_albedo,snow_cover,snow_density,snow_depth,snow_depth_water_equivalent,snow_evaporation,snow_evaporation_hourly,snowfall,snowfall_hourly,snowmelt,snowmelt_hourly,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff,sub_surface_runoff_hourly,surface_latent_heat_flux,surface_latent_heat_flux_hourly,surface_net_solar_radiation,surface_net_solar_radiation_hourly,surface_net_thermal_radiation,surface_net_thermal_radiation_hourly,surface_pressure,surface_runoff,surface_runoff_hourly,surface_sensible_heat_flux,surface_sensible_heat_flux_hourly,surface_solar_radiation_downwards,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards,surface_thermal_radiation_downwards_hourly,system:time_start,temperature_2m,temperature_of_snow_layer,total_evaporation,total_evaporation_hourly,total_precipitation,total_precipitation_hourly,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
0_20250301T00,"[78.20000, 16.10000]",20250301 0000,265.7388916015625,0.0,0.0,7.636845111846924E-8,0.0,-7.636845111846924E-8,0.0,-6.705522537231445E-8,-3.725290298461914E-9,0.8349216803908348,277.005126953125,1.2430419921875,267.5050048828125,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.8123779296875,5.424767732620239E-5,3.2335519790649414E-6,7.066130638122559E-5,2.8908252716064453E-6,"Site0 78,20000 16,10000",1.898407936096191E-4,266.0806579589844,0.8348726630210876,99.943359375,276.43748474121094,4.544921875,1.3367881774902344,5.431380122900009E-5,3.2314565032720566E-6,0.001087486743927002,3.51443886756897E-5,0.0,0.0,267.9630889892578,267.9872131347656,268.1618957519531,269.843017578125,7.065385580062866E-5,2.8833746910095215E-6,153764.0,9152.0,70230.0,0.0,-1677168.0,-102548.0,96122.66796875,0.0,0.0,926087.0,50546.0,429208.0,0.0,2.3155392E7,923627.0,1.7407872E12,267.7828369140625,267.2765808105469,5.424767732620239E-5,3.2279640436172485E-6,0.0010942220678771264,3.515183925628662E-5,-4.226654052734375,0.3353271484375,0.22943115234375,0.2216949462890625,0.1732635498046875,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T01,"[78.20000, 16.10000]",20250301 0100,265.4608612060547,0.0,0.0,7.60774128139019E-8,7.60774128139019E-8,-7.60774128139019E-8,-7.60774128139019E-8,-4.2782630771398544E-9,-4.2782630771398544E-9,0.8347711972892284,277.005126953125,1.24310302734375,267.3768310546875,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,3.756023943424225E-6,3.756023943424225E-6,2.8777867555618286E-6,2.8777867555618286E-6,"Site0 78,20000 16,10000",1.8975138664245603E-4,265.75852966308594,0.8347277045249939,99.943359375,276.57810974121094,4.544921875,1.3368234634399414,3.76052048522979E-6,3.76052048522979E-6,3.754720091819763E-5,3.754720091819763E-5,0.0,0.0,267.9658966064453,267.9911193847656,268.1663055419922,269.8427734375,2.8777867555618286E-6,2.8777867555618286E-6,10647.25,10647.25,0.0,0.0,-114760.875,-114760.875,96082.796875,0.0,0.0,54371.5,54371.5,0.0,0.0,906443.0,906443.0,1.7407908E12,267.5116424560547,267.19773864746094,3.7562567740678787E-6,3.7562567740678787E-6,3.754720091819763E-5,3.754720091819763E-5,-4.356109619140625,0.2320709228515625,0.22943115234375,0.2216949462890625,0.1732635498046875,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T02,"[78.20000, 16.10000]",20250301 0200,265.4294891357422,0.0,0.0,7.613562047481537E-8,5.820766091346741E-11,-7.613562047481537E-8,-5.820766091346741E-11,-8.207280188798904E-9,-3.92901711165905E-9,0.8346338719129562,277.005126953125,1.2431640625,267.27325439453125,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,7.02589750289917E-6,3.269873559474945E-6,5.751848220825195E-6,2.8740614652633667E-6,"Site0 78,20000 16,10000",1.8975138664245603E-4,265.7101745605469,0.8345903754234314,99.943359375,276.70310974121094,4.5439453125,1.3368606567382812,7.034075679257512E-6,3.273555194027722E-6,7.602013647556305E-5,3.847293555736542E-5,0.0,0.0,267.9675598144531,267.99322509765625,268.1706848144531,269.842529296875,5.749985575675964E-6,2.8721988201141357E-6,19915.0,9267.75,0.0,0.0,-215001.625,-100240.75,96039.13671875,0.0,0.0,106108.0,51736.5,0.0,0.0,1822709.5625,916266.5625,1.7407944E12,267.4715576171875,267.13604736328125,7.02589750289917E-6,3.269640728831291E-6,7.601827383041382E-5,3.8471072912216187E-5,-4.527923583984375,0.1680450439453125,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T03,"[78.20000, 16.10000]",20250301 0300,265.3742218017578,0.0,0.0,7.613562047481537E-8,0.0,-7.613562047481537E-8,0.0,-1.1757947504520416E-8,-3.550667315721512E-9,0.8344965428113937,277.005126953125,1.24322509765625,267.1614685058594,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,1.1000782251358032E-5,3.974884748458862E-6,8.620321750640869E-6,2.868473529815674E-6,"Site0 78,20000 16,10000",1.89751386642456E-4,265.6002502441406,0.8344530463218689,99.943359375,276.83592224121094,4.5439453125,1.3368988037109375,1.1011376045644283E-5,3.977300366386771E-6,1.1573173105716705E-4,3.9711594581604004E-5,0.0,0.0,267.97015380859375,267.99749755859375,268.1750030517578,269.84228515625,8.618459105491638E-6,2.868473529815674E-6,31178.0,11263.0,0.0,0.0,-328152.5,-113150.875,96030.203125,0.0,0.0,165364.0,59256.0,0.0,0.0,2725107.8125,902398.25,1.740798E12,267.4596405029297,267.0690002441406,1.0999618098139763E-5,3.973720595240593E-6,1.1572986841201782E-4,3.9711594581604004E-5,-4.6101531982421875,0.2640380859375,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T04,"[78.20000, 16.10000]",20250301 0400,265.5079345703125,0.0,0.0,7.613562047481537E-8,0.0,-7.613562047481537E-8,0.0,-1.4784745872020721E-8,-3.026798367500305E-9,0.8343592174351215,277.005126953125,1.24334716796875,267.0992431640625,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,1.3794749975204468E-5,2.7939677238464355E-6,1.1481344699859619E-5,2.86102294921875E-6,"Site0 78,20000 16,10000",1.89751386642456E-4,265.8166961669922,0.8343462347984314,99.943359375,276.96092224121094,4.54296875,1.3369407653808594,1.3807788491249084E-5,2.796412445604801E-6,1.611374318599701E-4,4.540570080280304E-5,0.0,0.0,267.9720916748047,268.00018310546875,268.1792907714844,269.84007263183594,1.1481344699859619E-5,2.862885594367981E-6,39097.0,7919.0,0.0,0.0,-412286.5,-84134.0,95986.61328125,0.0,0.0,217607.0,52243.0,0.0,0.0,3655357.5,930249.6875,1.7408016E12,267.55723571777344,267.0312194824219,1.379312016069889E-5,2.793502062559128E-6,1.6114115715026855E-4,4.541128873825073E-5,-4.5013427734375,0.4182586669921875,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T05,"[78.20000, 16.10000]",20250301 0500,265.42686462402344,0.0,0.0,7.613562047481537E-8,0.0,-7.613562047481537E-8,0.0,-1.7229467630386353E-8,-2.444721758365631E-9,0.834252405911684,277.005126953125,1.243408203125,266.98651123046875,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,1.8965452909469604E-5,5.170702934265137E-6,1.4334917068481445E-5,2.853572368621826E-6,"Site0 78,20000 16,10000",1.89751386642456E-4,265.51324462890625,0.8342546820640564,99.943359375,277.07810974121094,4.54296875,1.3369884490966797,1.898349728435278E-5,5.175708793103695E-6,2.1130219101905823E-4,5.0164759159088135E-5,0.0,0.0,267.9735565185547,268.0033416748047,268.1855163574219,269.8398132324219,1.4338642358779907E-5,2.857297658920288E-6,53759.0,14662.0,0.0,0.0,-541472.0,-129185.5,95943.59765625,0.0,0.0,283150.0,65543.0,0.0,0.0,4543077.5,887720.0,1.7408052E12,267.50157165527344,266.9552917480469,1.8965918570756912E-5,5.1727984100580215E-6,2.1129846572875977E-4,5.015730857849121E-5,-4.665924072265625,0.5721282958984375,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T06,"[78.20000, 16.10000]",20250301 0600,265.48028564453125,0.0,0.0,7.636845111846924E-8,2.3283064365386963E-10,-7.613562047481537E-8,0.0,-1.909211277961731E-8,-1.862645149230957E-9,0.8341608569025993,277.005126953125,1.24346923828125,266.895263671875,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,2.436712384223938E-5,5.401670932769775E-6,1.718848943710327E-5,2.853572368621826E-6,"Site0 78,20000 16,10000",1.89751386642456E-4,265.45225524902344,0.8341707587242126,99.943359375,277.19529724121094,4.54296875,1.3370380401611328,2.4385866709053516E-5,5.402369424700737E-6,2.6246532797813416E-4,5.116313695907593E-5,0.0,0.0,267.9743957519531,268.007080078125,268.18975830078125,269.8395690917969,1.718848943710327E-5,2.8498470783233643E-6,69067.0,15308.0,0.0,0.0,-663910.5,-122438.5,95882.78515625,0.0,0.0,350153.0,67003.0,0.0,0.0,5433029.0,889951.5,1.7408088E12,267.5248565673828,266.8923797607422,2.4366658180952072E-5,5.40073961019516E-6,2.624616026878357E-4,5.116313695907593E-5,-4.624114990234375,0.57598876953125,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T07,"[78.20000, 16.10000]",20250301 0700,265.9603576660156,0.0,0.0,7.636845111846924E-8,0.0,-7.636845111846924E-8,-2.3283064365386963E-10,-1.862645149230957E-8,4.656612873077393E-10,0.8340693041682243,277.005126953125,1.24359130859375,266.89129638671875,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,2.8558075428009033E-5,4.190951585769653E-6,2.0042061805725098E-5,2.853572368621826E-6,"Site0 78,20000 16,10000",1.89751386642456E-4,265.9122314453125,0.8340868353843689,99.943359375,277.31248474121094,4.5419921875,1.3370866775512695,2.8576585464179516E-5,4.1907187551259995E-6,3.138873726129532E-4,5.142204463481903E-5,0.0,0.0,267.9752960205078,268.0083465576172,268.19398498535156,269.83929443359375,2.0038336515426636E-5,2.8498470783233643E-6,80947.0,11880.0,0.0,0.0,-740339.5,-76429.0,95859.546875,0.0,0.0,406140.0,55987.0,0.0,0.0,6368854.0,935825.0,1.7408124E12,267.8783721923828,266.8817443847656,2.8557609766721725E-5,4.190951585769653E-6,3.1388550996780396E-4,5.142390727996826E-5,-4.348968505859375,0.64984130859375,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T08,"[78.20000, 16.10000]",20250301 0800,266.2293701171875,0.0,0.0,7.636845111846924E-8,0.0,-7.636845111846924E-8,0.0,-1.792795956134796E-8,6.984919309616089E-10,0.8339930102229118,277.005126953125,1.24365234375,266.89923095703125,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,3.248080611228943E-5,3.9227306842803955E-6,2.2873282432556152E-5,2.8312206268310547E-6,"Site0 78,20000 16,10000",1.89751386642456E-4,266.2059631347656,0.8340258002281189,99.943359375,277.42967224121094,4.5419921875,1.3371400833129883,3.2497337087988853E-5,3.920751623809338E-6,3.709755837917328E-4,5.70882111787796E-5,0.0,0.0,267.9765319824219,268.01145935058594,268.19822692871094,269.8370666503906,2.2880733013153076E-5,2.8423964977264404E-6,92062.0,11115.0,288.0,288.0,-810404.0,-70064.5,95846.265625,0.0,0.0,458159.0,52019.0,1740.0,1740.0,7318207.0,949353.0,1.740816E12,268.1332550048828,266.87298583984375,3.2479409128427505E-5,3.92179936170578E-6,3.7097930908203125E-4,5.7093799114227295E-5,-4.220001220703125,0.77960205078125,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T09,"[78.20000, 16.10000]",20250301 0900,266.3522644042969,0.0,0.0,7.636845111846924E-8,0.0,-7.636845111846924E-8,0.0,-1.6530975699424744E-8,1.3969838619232178E-9,0.8339319787919521,277.005126953125,1.2437744140625,266.9073791503906,0.2978515624999929,273.149658203125,0.6363829970359802,275.574462890625,0.0,0.811279296875,3.672018647193909E-5,4.239380359649658E-6,2.571195363998413E-5,2.8386712074279785E-6,"Site0 78,20000 16,10000",1.8975138664245603E-4,266.3002166748047,0.8339800238609314,99.943359375,277.53904724121094,4.5419921875,1.3371953964233398,3.673601895570755E-5,4.238681867718697E-6,4.309657961130142E-4,5.999021232128143E-5,0.0,0.0,267.9784698486328,268.0132598876953,268.20440673828125,269.8367919921875,2.5715678930282593E-5,2.8349459171295166E-6,104081.0,12019.0,7220.0,6932.0,-893991.0,-83587.0,95794.38671875,0.0,0.0,511680.0,53521.0,43504.0,41764.0,8258329.0,940122.0,1.7408196E12,268.2859649658203,266.85777282714844,3.671925514936447E-5,4.239846020936966E-6,4.30963933467865E-4,5.998462438583374E-5,-4.2691192626953125,0.9129638671875,0.22943115234375,0.2216949462890625,0.173248291015625,0.261505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
