system:index,centroidLatLon,date,dewpoint_temperature_2m,evaporation_from_bare_soil,evaporation_from_bare_soil_hourly,evaporation_from_open_water_surfaces_excluding_oceans,evaporation_from_open_water_surfaces_excluding_oceans_hourly,evaporation_from_the_top_of_canopy,evaporation_from_the_top_of_canopy_hourly,evaporation_from_vegetation_transpiration,evaporation_from_vegetation_transpiration_hourly,forecast_albedo,lake_bottom_temperature,lake_ice_depth,lake_ice_temperature,lake_mix_layer_depth,lake_mix_layer_temperature,lake_shape_factor,lake_total_layer_temperature,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,potential_evaporation,potential_evaporation_hourly,runoff,runoff_hourly,siteName,skin_reservoir_content,skin_temperature,snow_albedo,snow_cover,snow_density,snow_depth,snow_depth_water_equivalent,snow_evaporation,snow_evaporation_hourly,snowfall,snowfall_hourly,snowmelt,snowmelt_hourly,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff,sub_surface_runoff_hourly,surface_latent_heat_flux,surface_latent_heat_flux_hourly,surface_net_solar_radiation,surface_net_solar_radiation_hourly,surface_net_thermal_radiation,surface_net_thermal_radiation_hourly,surface_pressure,surface_runoff,surface_runoff_hourly,surface_sensible_heat_flux,surface_sensible_heat_flux_hourly,surface_solar_radiation_downwards,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards,surface_thermal_radiation_downwards_hourly,system:time_start,temperature_2m,temperature_of_snow_layer,total_evaporation,total_evaporation_hourly,total_precipitation,total_precipitation_hourly,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
0_20250301T00,"[78.30000, 16.20000]",20250301 0000,266.0689697265625,0.0,0.0,3.771856427192688E-8,0.0,-3.725290298461914E-8,9.313225746154785E-10,-6.658956408500671E-7,-3.166496753692627E-8,0.8311985358595848,276.929443359375,1.22607421875,267.8468017578125,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9609375,3.1188130378723145E-5,1.944601535797119E-6,2.059340476989746E-5,8.046627044677734E-7,"Site0 78,30000 16,20000",1.981854438781738E-4,266.6431579589844,0.8317980170249939,99.568359375,273.28123474121094,1.0712890625,0.2926759719848633,3.1857285648584366E-5,1.9795261323451996E-6,9.488016366958618E-4,3.055483102798462E-5,0.0,0.0,268.7287139892578,268.7567443847656,268.9411926269531,270.552001953125,2.0556151866912842E-5,8.046627044677734E-7,88412.0,5524.0,69472.0,0.0,-1848054.0,-102344.0,97940.66796875,2.9802322387695312E-8,0.0,1079995.0,55954.0,416094.0,0.0,2.3200572E7,931025.0,1.7407872E12,268.3277587890625,267.8840026855469,3.1191855669021606E-5,1.948326826095581E-6,9.550899258101708E-4,3.0547380447387695E-5,-4.494232177734375,0.4193115234375,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T01,"[78.30000, 16.20000]",20250301 0100,265.9003143310547,0.0,0.0,3.7602148950099945E-8,3.7602148950099945E-8,-3.766035661101341E-8,-3.766035661101341E-8,-3.268360160291195E-8,-3.268360160291195E-8,0.8310175351798534,276.929443359375,1.22613525390625,267.7283935546875,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,2.8423964977264404E-6,2.8423964977264404E-6,7.990747690200806E-7,7.990747690200806E-7,"Site0 78,30000 16,20000",1.981556415557861E-4,266.36790466308594,0.8316225409507751,99.568359375,273.42967224121094,1.0712890625,0.2927122116088867,2.8751965146511793E-6,2.8751965146511793E-6,3.3563002943992615E-5,3.3563002943992615E-5,0.0,0.0,268.7295684814453,268.7606506347656,268.9456024169922,270.5498046875,8.00006091594696E-7,8.00006091594696E-7,8057.5,8057.5,0.0,0.0,-116724.75,-116724.75,97902.796875,0.0,0.0,60216.0,60216.0,0.0,0.0,913122.375,913122.375,1.7407908E12,268.1503143310547,267.80711364746094,2.8425129130482674E-6,2.8425129130482674E-6,3.3563002943992615E-5,3.3563002943992615E-5,-4.604156494140625,0.2965240478515625,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T02,"[78.30000, 16.20000]",20250301 0200,265.8591766357422,0.0,0.0,3.771856427192688E-8,1.1641532182693481E-10,-3.771856427192688E-8,-5.820766091346741E-11,-6.327172741293907E-8,-3.058812581002712E-8,0.8308496922254562,276.929443359375,1.2261962890625,267.63262939453125,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,5.044043064117432E-6,2.201646566390991E-6,1.5944242477416992E-6,7.953494787216187E-7,"Site0 78,30000 16,20000",1.981556415557861E-4,266.3429870605469,0.8314546942710876,99.568359375,273.57810974121094,1.0703125,0.29274940490722656,5.107023753225803E-6,2.231827238574624E-6,6.863102316856384E-5,3.506802022457123E-5,0.0,0.0,268.7312316894531,268.76470947265625,268.9499816894531,270.549560546875,1.5944242477416992E-6,7.944181561470032E-7,14296.0,6238.5,0.0,0.0,-218291.625,-101566.875,97860.13671875,0.0,0.0,117187.5,56971.5,0.0,0.0,1837433.5625,924311.1875,1.7407944E12,268.1043701171875,267.74737548828125,5.043810233473778E-6,2.2012973204255104E-6,6.863102316856384E-5,3.506802022457123E-5,-4.766204833984375,0.2110137939453125,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T03,"[78.30000, 16.20000]",20250301 0300,265.7824249267578,0.0,0.0,3.771856427192688E-8,0.0,-3.771856427192688E-8,0.0,-9.348150342702866E-8,-3.0209776014089584E-8,0.8306818455457687,276.929443359375,1.226318359375,267.5267028808594,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,7.912516593933105E-6,2.868473529815674E-6,2.384185791015625E-6,7.897615432739258E-7,"Site0 78,30000 16,20000",1.9815564155578608E-4,266.2213439941406,0.8312868475914001,99.568359375,273.72654724121094,1.0703125,0.2927865982055664,8.006289135664701E-6,2.899265382438898E-6,1.0401755571365356E-4,3.538653254508972E-5,0.0,0.0,268.73187255859375,268.76702880859375,268.9542999267578,270.54736328125,2.386048436164856E-6,7.916241884231567E-7,22429.0,8133.0,0.0,0.0,-335155.0,-116863.375,97849.203125,0.0,0.0,182734.0,65546.5,0.0,0.0,2745762.5625,908329.0,1.740798E12,268.0944061279297,267.6783752441406,7.91274942457676E-6,2.8689391911029816E-6,1.0401755571365356E-4,3.538653254508972E-5,-4.8972625732421875,0.3197021484375,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T04,"[78.30000, 16.20000]",20250301 0400,265.8712158203125,0.0,0.0,3.771856427192688E-8,0.0,-3.771856427192688E-8,0.0,-1.183943822979927E-7,-2.491287887096405E-8,0.830529261380434,276.928955078125,1.22637939453125,267.4664306640625,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,9.521842002868652E-6,1.6093254089355469E-6,3.1739473342895508E-6,7.897615432739258E-7,"Site0 78,30000 16,20000",1.9815564155578608E-4,266.3948211669922,0.8311342597007751,99.568359375,273.86717224121094,1.0693359375,0.2928276062011719,9.640469215810299E-6,1.6341800801455975E-6,1.4263391494750977E-4,3.86163592338562E-5,0.0,0.0,268.7338104248047,268.76971435546875,268.9605407714844,270.54710388183594,3.1739473342895508E-6,7.878988981246948E-7,26990.0,4561.0,0.0,0.0,-426267.75,-91112.75,97804.61328125,0.0,0.0,242703.0,59969.0,0.0,0.0,3678446.0,932683.4375,1.7408016E12,268.18223571777344,267.6386413574219,9.522074833512306E-6,1.6093254089355469E-6,1.4263391494750977E-4,3.86163592338562E-5,-4.9124755859375,0.5207977294921875,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T05,"[78.30000, 16.20000]",20250301 0500,265.82920837402344,0.0,0.0,3.771856427192688E-8,0.0,-3.771856427192688E-8,0.0,-1.4016404747962952E-7,-2.176966518163681E-8,0.830376673489809,276.928955078125,1.2264404296875,267.35955810546875,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,1.3656914234161377E-5,4.135072231292725E-6,3.956258296966553E-6,7.82310962677002E-7,"Site0 78,30000 16,20000",1.9815564155578608E-4,266.15191650390625,0.8310198187828064,99.568359375,274.00779724121094,1.0693359375,0.2928752899169922,1.3797078281641006E-5,4.1566090658307076E-6,1.8686801195144653E-4,4.423409700393677E-5,0.0,0.0,268.7352752685547,268.7709197998047,268.9648132324219,270.5448913574219,3.952533006668091E-6,7.7858567237854E-7,38710.0,11720.0,0.0,0.0,-558955.0,-132687.25,97758.59765625,0.0,0.0,317154.0,74451.0,0.0,0.0,4571489.5,893043.5,1.7408052E12,268.12852478027344,267.5646667480469,1.3656914234161377E-5,4.134839400649071E-6,1.8686801195144653E-4,4.423409700393677E-5,-4.987213134765625,0.6629486083984375,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T06,"[78.30000, 16.20000]",20250301 0600,265.90802001953125,0.0,0.0,3.771856427192688E-8,0.0,-3.771856427192688E-8,0.0,-1.5506520867347717E-7,-1.4901161193847656E-8,0.8302698656916618,276.928955078125,1.22650146484375,267.279052734375,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,1.7836689949035645E-5,4.179775714874268E-6,4.731118679046631E-6,7.748603820800781E-7,"Site0 78,30000 16,20000",1.9815564155578608E-4,266.13194274902344,0.8309130072593689,99.568359375,274.13279724121094,1.0693359375,0.29292869567871094,1.79903581738472E-5,4.193279892206192E-6,2.3498013615608215E-4,4.811212420463562E-5,0.0,0.0,268.7361145019531,268.772705078125,268.96905517578125,270.5446472167969,4.734843969345093E-6,7.82310962677002E-7,50554.0,11844.0,0.0,0.0,-681419.0,-122464.0,97696.78515625,0.0,0.0,390597.0,73443.0,0.0,0.0,5471195.0,899705.5,1.7408088E12,268.1615753173828,267.5066375732422,1.783529296517372E-5,4.178378731012344E-6,2.349764108657837E-4,4.810839891433716E-5,-4.905364990234375,0.65216064453125,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T07,"[78.30000, 16.20000]",20250301 0700,266.4056701660156,0.0,0.0,3.771856427192688E-8,0.0,-3.771856427192688E-8,0.0,-1.5273690223693848E-7,2.3283064365386963E-9,0.8301630541682243,276.928955078125,1.2265625,267.28778076171875,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,2.074986696243286E-5,2.913177013397217E-6,5.505979061126709E-6,7.748603820800781E-7,"Site0 78,30000 16,20000",1.9815564155578608E-4,266.5938720703125,0.8308061957359314,99.568359375,274.26560974121094,1.068359375,0.29297924041748047,2.0902836695313454E-5,2.912478521466255E-6,2.823527902364731E-4,4.737265408039093E-5,0.0,0.0,268.7389678955078,268.7759246826172,268.97328186035156,270.54241943359375,5.505979061126709E-6,7.711350917816162E-7,58816.0,8262.0,0.0,0.0,-758745.5,-77326.5,97669.546875,0.0,0.0,452852.0,62255.0,0.0,0.0,6416541.0,945346.0,1.7408124E12,268.5404815673828,267.4989318847656,2.075033262372017E-5,2.9150396585464478E-6,2.823546528816223E-4,4.737824201583862E-5,-4.606781005859375,0.72015380859375,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T08,"[78.30000, 16.20000]",20250301 0800,266.6668701171875,0.0,0.0,3.771856427192688E-8,0.0,-3.771856427192688E-8,0.0,-1.441221684217453E-7,8.614733815193176E-9,0.8300562426447868,276.928955078125,1.2266845703125,267.30743408203125,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,2.355128526687622E-5,2.8014183044433594E-6,6.273388862609863E-6,7.674098014831543E-7,"Site0 78,30000 16,20000",1.9815564155578608E-4,266.8739318847656,0.8307222723960876,99.568359375,274.39842224121094,1.068359375,0.2930335998535156,2.3694941774010658E-5,2.7921050786972046E-6,3.34717333316803E-4,5.2364543080329895E-5,0.0,0.0,268.7402038574219,268.77903747558594,268.97752380371094,270.5421447753906,6.277114152908325E-6,7.711350917816162E-7,66754.0,7938.0,244.0,244.0,-831499.0,-72753.5,97656.265625,0.0,0.0,511551.0,58699.0,1446.0,1446.0,7373665.0,957124.0,1.740816E12,268.8129425048828,267.49310302734375,2.3550819605588913E-5,2.800486981868744E-6,3.34717333316803E-4,5.2362680435180664E-5,-4.540313720703125,0.89581298828125,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20250301T09,"[78.30000, 16.20000]",20250301 0900,266.8268737792969,0.0,0.0,3.771856427192688E-8,0.0,-3.771856427192688E-8,0.0,-1.3294629752635956E-7,1.1175870895385742E-8,0.8299799524247646,276.928955078125,1.22674560546875,267.3273010253906,0.3476562499999929,273.149658203125,0.6343764662742615,275.510986328125,0.0,0.9600830078125,2.687796950340271E-5,3.3266842365264893E-6,7.040798664093018E-6,7.674098014831543E-7,"Site0 78,30000 16,20000",1.981556415557861E-4,266.9935760498047,0.8306459784507751,99.568359375,274.52342224121094,1.068359375,0.2930898666381836,2.70127784460783E-5,3.3178366720676422E-6,3.879331052303314E-4,5.321577191352844E-5,0.0,0.0,268.7421417236328,268.7827911376953,268.98175048828125,270.5399169921875,7.040798664093018E-6,7.636845111846924E-7,76189.0,9435.0,7072.0,6828.0,-917094.0,-85595.0,97601.38671875,0.0,0.0,572576.0,61025.0,41662.0,40216.0,8322057.0,948392.0,1.7408196E12,268.9636993408203,267.48277282714844,2.687983214855194E-5,3.329012542963028E-6,3.8792937994003296E-4,5.321204662322998E-5,-4.5249786376953125,1.0037841796875,0.233612060546875,0.2294921875,0.1902923583984375,0.25494384765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
