DATE,TEL-temperature@200,TEL-temperature@335,TEL-relative_humidity@200,TEL-relative_humidity@335,TEL-wind_speed@200,TEL-wind_speed@335,TEL-gust_speed@200,TEL-gust_speed@335,TEL-wind_direction@200,TEL-wind_direction@335,TEL-air_pressure,TEL-ground_temperature,TEL-SW_up,TEL-SW_down,TEL-LW_up,TEL-LW_down,BLE-temperature@200,BLE-temperature@335,BLE-relative_humidity@200,BLE-relative_humidity@335,BLE-wind_speed@200,BLE-wind_speed@335,BLE-gust_speed@200,BLE-gust_speed@335,BLE-wind_direction@200,BLE-wind_direction@335,BLE-air_pressure,BLE-ground_temperature,BLE-SW_up,BLE-SW_down,BLE-LW_up,BLE-LW_down
2025-03-01 12:00:00,-4.88,-4.968,83.6,85.6,2.694,4.165,4.904,5.782,57.105,60.282,987.954,-4.883,10.32,11.42,293.2,284.95,,,,,,,,,,,,,,,,
2025-03-01 13:00:00,-4.978,-5.066,85.059,86.605,2.567,2.63,3.66,3.712,72.361,49.642,987.408,-4.952,12.383,13.018,292.647,287.344,,,,,,,,,,,,,,,,
2025-03-01 14:00:00,-5.136,-5.213,85.692,86.618,3.092,3.342,4.208,4.408,87.281,58.402,987.101,-5.015,7.246,7.315,291.308,282.403,,,,,,,,,,,,,,,,
2025-03-01 15:00:00,-5.46,-5.561,88.538,89.587,3.933,4.171,4.849,5.05,86.178,53.234,986.823,-5.126,1.734,1.625,291.09,286.268,,,,,,,,,,,,,,,,
2025-03-01 16:00:00,-5.474,-5.562,89.062,89.568,4.151,4.427,5.052,5.313,77.811,55.268,986.512,-5.172,0.125,-0.081,291.115,287.007,,,,,,,,,,,,,,,,
2025-03-01 17:00:00,-5.321,-5.403,87.107,86.835,4.255,4.694,5.625,5.971,86.145,56.898,986.16,-5.197,0.143,-0.083,291.162,286.685,,,,,,,,,,,,,,,,
2025-03-01 18:00:00,-5.292,-5.384,85.82,86.213,4.543,5.094,5.844,6.264,83.986,56.219,985.887,-5.193,-0.005,-0.22,291.112,286.448,,,,,,,,,,,,,,,,
2025-03-01 19:00:00,-5.392,-5.469,87.595,87.518,5.074,5.303,6.083,6.285,76.841,52.91,985.662,-5.192,0.039,-0.178,291.023,286.378,,,,,,,,,,,,,,,,
2025-03-01 20:00:00,-5.456,-5.536,87.937,87.982,5.325,5.598,6.369,6.649,77.885,51.987,985.409,-5.212,0.046,-0.184,290.772,285.753,,,,,,,,,,,,,,,,
2025-03-01 21:00:00,-5.448,-5.545,89.512,89.78,5.154,5.769,6.259,6.754,92.426,60.724,985.235,-5.216,0.057,-0.149,291.162,286.448,,,,,,,,,,,,,,,,
2025-03-01 22:00:00,-5.45,-5.562,90.812,91.372,5.766,6.513,7.199,7.722,86.184,62.643,985.064,-5.165,0.009,-0.179,291.358,286.237,,,,,,,,,,,,,,,,
2025-03-01 23:00:00,-5.501,-5.577,90.522,90.183,6.228,6.891,7.371,7.882,80.903,60.692,984.889,-5.169,0.098,-0.146,291.003,286.167,,,,,,,,,,,,,,,,
2025-03-02 00:00:00,-5.724,-5.812,90.123,89.7,6.58,7.472,8.292,8.925,85.338,58.738,984.695,-5.204,-0.004,-0.309,289.732,281.183,,,,,,,,,,,,,,,,
2025-03-02 01:00:00,-6.059,-6.15,89.943,89.613,4.996,6.302,7.148,7.873,205.635,84.564,984.622,-5.327,0.16,-0.434,287.078,272.298,,,,,,,,,,,,,,,,
2025-03-02 02:00:00,-5.666,-5.729,89.977,88.96,5.831,6.807,8.561,9.189,219.375,69.32,984.404,-5.424,0.176,0.009,290.212,286.688,,,,,,,,,,,,,,,,
2025-03-02 03:00:00,-5.438,-5.463,88.288,85.92,3.45,3.733,5.233,5.329,220.67,65.884,984.305,-5.384,0.06,-0.131,290.49,286.87,,,,,,,,,,,,,,,,
2025-03-02 04:00:00,-5.58,-5.616,85.457,83.555,7.168,7.328,8.948,9.047,222.757,34.418,984.068,-5.368,0.031,-0.412,288.625,276.028,,,,,,,,,,,,,,,,
2025-03-02 05:00:00,-5.614,-5.663,87.25,86.367,6.285,6.575,7.652,7.879,208.317,47.748,983.982,-5.454,0.196,-0.388,288.058,272.088,,,,,,,,,,,,,,,,
2025-03-02 06:00:00,-5.262,-5.331,86.817,86.51,3.763,4.352,5.069,5.269,208.227,73.513,983.964,-5.49,1.052,0.752,289.73,283.963,,,,,,,,,,,,,,,,
2025-03-02 07:00:00,-4.806,-4.91,89.135,89.085,3.529,4.558,4.973,5.537,214.542,77.965,983.965,-5.415,5.797,6.013,293.075,289.128,,,,,,,,,,,,,,,,
2025-03-02 08:00:00,-4.722,-4.833,89.425,89.578,3.726,5.077,5.464,6.086,213.8,86.504,983.968,-5.259,17.865,19.252,293.81,289.345,,,,,,,,,,,,,,,,
2025-03-02 09:00:00,-4.225,-4.315,87.417,87.262,3.348,5.144,5.075,6.205,216.105,82.04,983.99,-5.114,24.911,26.452,294.158,282.335,,,,,,,,,,,,,,,,
2025-03-02 10:00:00,-3.887,-3.98,86.885,87.318,2.902,3.739,4.069,4.67,224.67,68.91,983.966,-5.006,26.815,28.451,296.308,292.418,,,,,,,,,,,,,,,,
2025-03-02 11:00:00,-3.642,-3.733,87.698,88.058,2.23,2.668,3.066,3.446,224.633,64.845,983.958,-4.838,30.76,32.716,297.737,294.918,-3.407,-3.275,84.643,87.821,7.56,7.995,9.377,9.721,85.832,90.295,942.005,-4.835,,,,
2025-03-02 12:00:00,-3.542,-3.617,89.608,88.887,3.291,3.942,4.42,4.951,224.633,65.407,983.935,-4.665,39.49,43.222,298.84,293.718,-3.116,-2.959,83.09,87.097,8.766,9.266,10.714,11.229,89.958,86.985,941.981,-4.696,27.989,32.119,291.647,259.863
2025-03-02 13:00:00,-3.305,-3.399,87.94,87.733,4.366,5.337,5.768,6.481,224.323,66.142,983.863,-4.545,23.366,25.235,299.453,294.768,-2.954,-2.807,82.705,87.007,9.559,9.7,11.616,11.753,87.692,87.328,941.732,-3.92,21.824,24.281,291.77,261.702
2025-03-02 14:00:00,-3.459,-3.561,90.21,90.055,5.476,6.61,7.143,8.058,223.198,68.259,983.819,-4.476,8.177,8.461,299.308,295.047,-3.11,-2.975,84.853,89.673,9.85,10.033,12.068,12.289,86.014,84.648,941.694,-4.29,8.02,8.335,292.848,278.942
2025-03-02 15:00:00,-3.882,-3.981,91.275,91.123,3.381,3.812,4.552,4.884,221.303,60.317,983.775,-4.406,1.916,1.854,297.483,293.927,-3.255,-3.1,83.922,88.328,9.892,10.131,12.172,12.453,81.84,82.189,941.628,-4.491,2.425,2.117,292.008,277.702
2025-03-02 16:00:00,-3.837,-3.918,89.43,88.608,3.77,4.641,5.66,6.176,222.037,69.194,983.71,-4.405,0.187,-0.014,297.13,292.882,-3.407,-3.227,82.927,86.937,10.219,10.419,12.539,12.697,87.099,85.413,941.586,-4.402,0.456,-0.113,291.127,277.4
2025-03-02 17:00:00,-4.332,-4.436,91.08,90.94,5.715,6.327,7.14,7.668,224.767,62.088,983.594,-4.439,-0.023,-0.205,295.905,291.628,-3.86,-3.702,84.655,89.185,10.405,10.673,12.983,13.342,79.838,78.378,941.306,-4.042,0.194,-0.253,290.237,280.897
2025-03-02 18:00:00,-4.525,-4.635,91.937,91.675,5.534,6.466,7.104,7.832,224.752,66.211,983.495,-4.493,0.039,-0.17,295.215,290.407,-4.081,-3.927,85.215,89.887,10.38,10.619,12.919,13.231,83.784,83.714,941.096,-3.856,0.213,-0.255,289.512,281.395
2025-03-02 19:00:00,-4.609,-4.719,91.912,91.712,5.283,6.075,6.699,7.365,229.998,64.016,983.446,-4.541,0.035,-0.189,294.75,289.432,-4.189,-4.012,85.12,89.55,10.825,11.078,13.366,13.609,83.277,82.499,941.073,-4.37,0.195,-0.331,288.863,277.993
