,TH5-Temperature,TH5-Humidity,TH6-Temperature,TH6-Humidity,TH3-Temperature,TH3-Humidity,TH2-Temperature,TH2-Humidity,TT9-Black Probe Temperature,TT9-White Probe Temperature,TT2-Black Probe Temperature,TT2-White Probe Temperature,TT14-Black Probe Temperature,TT14-White Probe Temperature,TT6-Black Probe Temperature,TT6-White Probe Temperature,TT4-Black Probe Temperature,TT4-White Probe Temperature,TT13-Black Probe Temperature,TT13-White Probe Temperature,TH8-Temperature,TH8-Humidity
2025-03-01 11:00:00,,,,,,,,,-0.655,-0.797,-1.748,-1.502,-0.7,-0.546,1.408,-0.031,-2.386,-0.487,-4.133,0.913,,
2025-03-01 11:00:22,-2.35,33.7,,,,,,,,,,,,,,,,,,,,
2025-03-01 11:00:23,,,-1.484,33.9,,,,,,,,,,,,,,,,,,
2025-03-01 11:00:28,,,,,,,-0.514,32.6,,,,,,,,,,,,,,
2025-03-01 11:00:51,,,,,-3.369,34.9,,,,,,,,,,,,,,,,
2025-03-01 11:00:55,,,,,,,,,,,,,,,,,,,,,-0.449,31.0
2025-03-01 11:01:22,-2.473,33.7,,,,,,,,,,,,,,,,,,,,
2025-03-01 11:01:23,,,-1.527,33.7,,,,,,,,,,,,,,,,,,
2025-03-01 11:01:28,,,,,,,-0.629,32.6,,,,,,,,,,,,,,
2025-03-01 11:01:51,,,,,-3.426,34.9,,,,,,,,,,,,,,,,
2025-03-01 11:01:55,,,,,,,,,,,,,,,,,,,,,-0.517,31.0
2025-03-01 11:02:22,-2.297,33.7,,,,,,,,,,,,,,,,,,,,
2025-03-01 11:02:23,,,-1.593,33.7,,,,,,,,,,,,,,,,,,
2025-03-01 11:02:28,,,,,,,-0.604,32.6,,,,,,,,,,,,,,
2025-03-01 11:02:51,,,,,-3.428,34.6,,,,,,,,,,,,,,,,
2025-03-01 11:02:55,,,,,,,,,,,,,,,,,,,,,-0.565,31.0
2025-03-01 11:03:22,-2.527,33.7,,,,,,,,,,,,,,,,,,,,
