,TH5-Temperature,TH5-Humidity,TH6-Temperature,TH6-Humidity,TH3-Temperature,TH3-Humidity,TH2-Temperature,TH2-Humidity,TT9-Black Probe Temperature,TT9-White Probe Temperature,TT2-Black Probe Temperature,TT2-White Probe Temperature,TT14-Black Probe Temperature,TT14-White Probe Temperature,TT6-Black Probe Temperature,TT6-White Probe Temperature,TT4-Black Probe Temperature,TT4-White Probe Temperature,TT13-Black Probe Temperature,TT13-White Probe Temperature,TH8-Temperature,TH8-Humidity
2025-03-01 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 14:00:00,-6.09,100.0,,,-4.745,96.255,,,,,,,,,,,,,,,-5.335,90.158
2025-03-01 15:00:00,-6.681,100.0,,,-4.925,90.988,,,,,-5.748,-6.109,-5.939,-5.864,,,-6.004,-5.834,,,-5.634,94.04
2025-03-01 16:00:00,-6.589,100.0,,,-4.978,90.907,,,,,-5.818,-6.105,-6.022,-5.948,,,-5.987,-5.904,,,-5.659,94.653
2025-03-01 17:00:00,-6.679,100.0,,,-4.608,85.303,,,,,-5.861,-6.109,-6.071,-5.99,,,-5.983,-5.934,,,-5.454,91.777
2025-03-01 18:00:00,-6.687,100.0,,,-4.663,85.097,,,,,-5.892,-6.113,-6.103,-6.014,,,-5.981,-5.945,,,-5.472,91.552
2025-03-01 19:00:00,-6.618,100.0,,,-4.758,86.163,,,,,-5.914,-6.119,-6.127,-6.031,,,-5.981,-5.95,,,-5.555,93.173
2025-03-01 20:00:00,-6.661,100.0,,,-4.745,86.505,,,,,-5.932,-6.123,-6.144,-6.042,,,-5.981,-5.965,,,-5.62,93.707
2025-03-01 21:00:00,-6.574,100.0,,,-4.705,88.388,,,,,-5.947,-6.127,-6.158,-6.049,,,-5.982,-5.975,,,-5.615,95.795
2025-03-01 22:00:00,-6.446,100.0,,,-4.813,90.485,,,,,-5.96,-6.131,-6.167,-6.055,,,-5.985,-5.952,,,-5.627,97.12
2025-03-01 23:00:00,-6.668,100.0,,,-4.819,88.202,,,,,-5.972,-6.134,-6.174,-6.06,,,-5.985,-5.945,,,-5.65,96.968
2025-03-02 00:00:00,-6.874,100.0,,,-5.295,91.15,,,,,-5.98,-6.137,-6.18,-6.063,,,-5.982,-5.962,,,-5.898,96.163
2025-03-02 01:00:00,-7.152,100.0,,,-5.631,92.68,,,,,-5.99,-6.141,-6.185,-6.066,,,-5.983,-6.091,,,-6.245,96.97
2025-03-02 02:00:00,-6.95,100.0,,,-5.068,90.038,,,,,-5.998,-6.143,-6.191,-6.07,,,-5.992,-6.199,,,-5.794,97.207
2025-03-02 03:00:00,-6.806,100.0,,,-5.114,91.998,,,,,-6.006,-6.146,-6.195,-6.074,,,-6.011,-6.147,,,-5.598,95.54
2025-03-02 04:00:00,-7.074,100.0,,,-5.002,84.922,,,,,-6.014,-6.149,-6.198,-6.075,,,-6.028,-6.139,,,-5.755,90.908
2025-03-02 05:00:00,-6.91,100.0,,,-4.849,85.23,,,,,-6.021,-6.154,-6.201,-6.077,,,-6.04,-6.221,,,-5.753,93.52
2025-03-02 06:00:00,-6.583,100.0,,,-4.85,87.813,,,,,-6.027,-6.159,-6.203,-6.079,,,-6.053,-6.316,,,-5.415,93.302
2025-03-02 07:00:00,-6.078,100.0,,,-4.381,90.553,,,,,-6.033,-6.165,-6.205,-6.08,,,-6.07,-6.21,,,-5.014,96.935
2025-03-02 08:00:00,-5.889,100.0,,,-3.652,87.173,,,,,-6.038,-6.169,-6.207,-6.082,,,-6.077,-6.023,,,-4.867,95.88
2025-03-02 09:00:00,-5.595,100.0,,,-3.537,87.028,,,,,-6.042,-6.174,-6.208,-6.083,,,-6.07,-5.87,,,-4.346,93.218
2025-03-02 10:00:00,-5.306,100.0,,,-3.33,87.815,,,,,-6.046,-6.179,-6.208,-6.084,,,-6.053,-5.764,,,-3.992,93.058
2025-03-02 11:00:00,-4.93,100.0,,,-2.829,87.328,,,,,-6.05,-6.182,-6.21,-6.085,,,-6.029,-5.601,,,-3.763,94.523
2025-03-02 12:00:00,-4.725,100.0,,,-2.557,85.833,,,,,-6.054,-6.184,-6.21,-6.086,,,-5.997,-5.424,,,-3.606,95.192
2025-03-02 13:00:00,-4.649,100.0,,,-2.462,86.047,,,,,-6.057,-6.185,-6.21,-6.087,,,-5.965,-5.299,,,-3.445,94.477
2025-03-02 14:00:00,-4.681,100.0,,,-2.856,90.105,,,,,-6.06,-6.184,-6.21,-6.088,,,-5.929,-5.23,,,-3.642,97.255
2025-03-02 15:00:00,-4.938,100.0,,,-3.37,91.767,,,,,-6.064,-6.181,-6.21,-6.088,,,-5.889,-5.21,,,-4.067,98.02
2025-03-02 16:00:00,-5.085,100.0,,,-3.682,92.188,,,,,-6.066,-6.175,-6.21,-6.09,,,-5.85,-5.247,,,-4.021,96.788
2025-03-02 17:00:00,-5.459,100.0,,,-3.741,91.798,,,,,-6.068,-6.167,-6.211,-6.09,,,-5.817,-5.281,,,-4.519,97.985
2025-03-02 18:00:00,-5.616,100.0,,,-3.96,92.858,,,,,-6.071,-6.158,-6.211,-6.092,,,-5.791,-5.322,,,-4.702,98.905
2025-03-02 19:00:00,-5.715,100.0,,,-4.07,93.307,,,,,-6.072,-6.148,-6.21,-6.092,,,-5.773,-5.37,,,-4.792,98.935
2025-03-02 20:00:00,-5.755,100.0,,,-4.017,92.448,,,,,-6.074,-6.138,-6.21,-6.092,,,-5.762,-5.417,,,-4.78,98.908
2025-03-02 21:00:00,-5.912,100.0,,,-4.063,88.968,,,,,-6.076,-6.128,-6.21,-6.094,,,-5.757,-5.471,,,-4.754,95.203
2025-03-02 22:00:00,-5.91,100.0,,,-4.073,89.618,,,,,-6.078,-6.12,-6.21,-6.095,,,-5.756,-5.546,,,-4.906,96.362
2025-03-02 23:00:00,-6.149,100.0,,,-4.27,89.787,,,,,-6.079,-6.11,-6.21,-6.094,,,-5.759,-5.582,,,-5.096,97.342
